author,career_length,paper_year
Jun Xu,19,11
Dan Rubenstein,16,5
John K. Tsotsos,39,20
Barry Smyth,21,13
Lawrence Larmore,44,21
Blaz Zupan,20,10
Evangelos Papadopoulos,33,11
Daqing Zhang,34,24
Eric Xing,16,4
Adam Porter,26,7
Emery Berger,22,9
Steve Howard,27,18
Stijn van Dongen,15,10
Darko Stefanovic,22,14
Theresa A. Wilson,12,4
Hirokazu Kato,46,31
Greg Welch,33,14
Haining Wang,33,20
Anurag Kumar,31,22
Frank Ruskey,37,28
Bruno Arnaldi,28,21
Christina Soh,28,14
Sina Farsiu,12,2
Pedro Moreno,25,18
Yunong Zhang,16,7
Denis Gillet,26,17
Jan Bosch,23,9
Vincent Wade,22,15
Seth R. Flaxman,5,4
Jingbo Zhu,34,23
Christian von Mering,16,4
Jun Wang,34,25
Jian Li,33,26
Zhongyuan Wang,36,20
Leon Rothkrantz,34,20
Dr Richard Dobson,15,7
Kentaro Inui,22,10
Changshui Zhang,31,25
PC Yuen,22,9
Gao Cong,15,4
Subbarao Kambhampati,29,0
Jian Su,18,7
Przemyslaw Prusinkiewicz,30,6
Michael Shamos,36,11
Martin Golumbic,39,29
Wenjin Zhou,32,12
Gul Agha,29,1
Karen Egiazarian,23,15
deqing li,34,26
Stephen Robinson,52,32
Aloimonos,35,8
cheng-zhong xu,35,17
Elizabeth Churchill,23,9
Divyakant Agrawal,28,18
Neil F Doherty,24,9
Jeremy M. Simon,4,2
Peter Hastings,21,14
Hui Zhang,33,10
Janos Korner,43,40
Martin Neil,24,9
Alexey Boyarsky,19,13
Srinivasan Raghunathan,22,12
Hai Wang,33,20
Nouredine Melab,18,10
Mark Jones,24,18
John R. Buck,25,0
M. Palaniswami,32,18
Marzena Kryszkiewicz,20,4
Giovanni Manzini,23,9
Andrea Prati,16,5
Juan Carlos De Martin,19,14
Walfredo Cirne,17,6
M Halkidi,12,1
U Rajendra Acharya, PhD, DEng,15,7
Dimitris Bertsimas,26,9
Lance Kaplan,21,6
Ramon Lopez de Mantaras,38,15
Brian Wandell,40,30
Sergey Koren,7,4
Ron Pinter,33,23
Jean-Philippe Tarel,19,8
Pier Luca Lanzi,17,9
Yike Guo,31,21
Jun Miura,22,9
Michael A Beer,23,16
Charles DeLisi,44,16
Charles Kemp,12,4
Avelino Gonzalez,31,10
Yulan He,32,27
linna li,37,36
Evgeniy Gabrilovich,17,10
TB Kepler,22,9
Aris Dimeas,9,1
Priya Narasimhan,18,13
Torsten Grust,17,6
Rene Vidal,16,7
AJ Bernheim Brush,14,5
Takeshi Obayashi,15,8
Ming C Leu,35,19
Byeungwoo Jeon,24,14
Torsten Rohlfing,18,7
James Morris,41,7
Yin Zhang (张寅),33,27
Brian Fitzgerald,20,8
Jonathan Chang,39,30
Kim-Chuan Toh,20,5
Atanas Rountev,15,6
Elaine Runting Shi,11,1
Radu Marculescu,21,12
Chris Welty,19,8
James A. Jones,16,4
Prof David A van Heel,15,8
Søren Holdt Jensen,22,15
Kay Chen Tan,27,14
Jason Robbins,14,5
Antoni B. Chan,13,6
John Ousterhout,37,32
Hans Johnson,15,2
Marco Aiello,15,7
jon whittle,19,14
Robert Biddle,23,21
Mohamed S. Kamel,35,28
Martin Schulz,17,9
Minseok Song,26,20
Allen Y. Yang,11,6
Mikhail Belkin,15,4
Elisa Bertino,34,20
Aggelos Kiayias,15,5
Judice Koh,13,11
Todd F Dupont,45,29
Shiwen Mao,18,6
Jason Laska,8,4
Bhuvana Ramabhadran,17,11
Dajana Cassioli,14,2
Antonis Kakas,25,3
Ahmed E. Kamal,28,18
Monique Laurent,28,11
Alessandro Cerri,18,16
VT Rajan,38,9
Scott L. Carter,10,4
Torsten Möller,19,8
Alessandro Chiuso,16,5
Lucian Popa,16,8
Gang Li,34,23
Rajkumar Buyya,26,21
Richard C Wilson,21,4
Jiejun Xu,35,25
John Reif,37,26
Ian H. Jermyn,22,9
David Krackhardt,37,15
John Holmes,49,34
Eva Huala,29,19
Azmed Zweil,38,23
Simon Kasif,33,20
Andrew Johnson,39,24
Anupriya Ankolekar,12,1
Dan C. Marinescu,27,5
Eric Marchand,21,13
Jeffrey K. MacKie-Mason,28,11
Anthony A. Maciejewski,30,1
Lyle N. Long,28,15
Joshua Guttman,27,12
Patricia Lago,21,13
Naveen Anto,30,25
Juan M Garcia-Gomez,12,2
Luca de Alfaro,19,7
Mario A. Rotea,26,4
Karl Gerlach,31,12
Stefan Müller,21,5
Piotr Dollar,14,5
Jan G. Bazan,19,6
Johan Himberg,8,2
Claes Wohlin,28,26
Michael Franklin,25,13
Evan Herbst,9,2
Fabien Gandon,16,5
Barton Miller,33,14
Pierre Baldi,28,15
Sergio Rajsbaum,24,11
Hans Gellersen,22,7
Giri Narasimhan,27,20
Javier Gonzalez Jimenez,22,13
Ugo Vaccaro,28,7
Wee Sun Lee,19,3
Avrim Blum,25,9
Giri Narasimhan,27,20
Giovanni Semeraro,24,7
Ali Reza Ashrafi,16,8
Honglak Lee,9,2
Victor Lempitsky,13,12
Alan F. Smeaton MRIA,33,25
Jaejin Lee,19,1
Doug Hardin,29,9
Peter Kellman,36,23
Victor Y. Pan,42,22
Sitharama Iyengar,34,22
Graziano Chesi,17,8
andrea bondavalli,26,11
Remco C. Veltkamp,37,31
RT Rockafellar,51,7
Jonathan Richard Shewchuk,22,4
Rong Chen,22,11
Martin Doerr,21,10
Shinsuke Hara,25,8
James Pustejovsky,34,15
Michael Armbrust,7,3
Bettina Kemme,20,6
Thomas Villmann,24,11
Mu-Chun Su,24,11
Dennis Volpano,32,15
Yang Chen,22,0
Eli Shechtman,12,3
Yuanqing Xu (徐远清),33,25
Michael R. Douglas,27,11
Morten Kyng,39,17
Klaus Schmid,19,12
Saji Hameed,17,4
Oncel Tuzel,12,5
Meral Ozsoyoglu,35,18
Ivo Grosse,19,6
Jinze Liu,33,27
Matthew Shields,9,7
Lipo Wang,31,22
Patrick A. Naylor,26,22
Xuegong Zhang,37,16
Francisco Valero-Cuevas,24,7
Peter Pietzuch,14,2
Bogdan Tanasa, MD PhD,8,0
Danica Kragic,15,3
Jian Cao,29,25
Jochen Küster,14,3
Katherine Yelick,29,21
Sahoo, Prasanna,30,5
Cheng-Lin Liu,19,16
Gosse Bouma,28,16
Rafael Molina,26,22
Benjamin Haibe-Kains,10,2
Miles N Wernick,28,17
Vittorio Maniezzo,25,6
Robert J. Woodham,37,4
Jón Atli Benediktsson,28,3
David C Hogg,36,6
Laura Pearlman,12,2
Simon Perkins,17,9
Akash Tiwari,34,22
Gal A. Kaminka,17,5
Gu-Yeon Wei,18,12
Jianying Hu,30,12
Hartmut Surmann,23,12
Graeme Dandy,38,24
Injong Rhee,21,16
Chang-Gun Lee,38,30
Hans Uszkoreit,33,16
Thad Starner,22,2
Alessandro Acquisti,17,8
Mark Kilgard,19,9
