author,career_length,paper_year
Peter J. Tonellato,24,15
Daniel A Beard,19,7
Kenneth E. Barner,25,19
CA Murthy,31,19
Sam Griffiths-Jones,16,6
Mirko Viroli,14,8
Donald C Wunsch II,24,15
Arend Rensink,25,15
Jean Gallier,36,6
Mathangi Thiagarajan,11,0
Jonathan D. Cohen,19,8
Bradford Clark,20,9
Jian Pei,15,7
Dan Olteanu,14,2
Peter Mell,14,13
John A. Carroll,44,24
Daniela Rus,23,13
Andras Veres,14,3
Zhiming Liu,33,23
Mark S Fox,43,25
Rokia Missaoui,23,5
Lakhdar Sais,21,12
David E. Meyer, Ph. D.,47,5
Mark van der Laan,22,11
Klaus Jansen,23,10
Patrick Heymans,15,1
Rudra Dutta,13,2
Marc Tommasi,22,15
Ugo Bastolla,18,7
Xinghua (Mindy) Shi,9,5
Michael Benedikt,21,10
Guoying Liu,35,24
sharad mehrotra,23,7
Corinna Cortes,20,1
Emiliano Miluzzo,7,4
Yu (Brandon) Xia,19,9
John S. Fitzgerald,24,8
Giacomo Indiveri,22,14
Gudrun Klinker (Rekers),32,8
Denys Poshyvanyk,9,2
Ken Sevcik,36,12
Enrico Bini,14,5
Yongsheng Gao,26,14
Christophe Garcia,20,5
Niraj Jha,30,26
Ren Wang,32,19
Taiji Suzuki,49,22
Antonio González,4,0
Donato Malerba,24,7
Felix W Wehrli,42,35
Dr. Jie Zheng (郑洁）,12,3
Frank J. Rybicki, MD, PhD,24,17
Jiaji Wu,38,20
qiong yang,34,32
Krishnendu Chakrabarty,21,10
Hyoung-Joo Kim,27,2
Sehoon Oh,36,25
Stefan Kopp,15,7
David Green,41,27
Andreas Ernst,20,10
Natalia Levina,15,6
Vladimir Brusic,21,12
Robby,13,0
Petko Valtchev,19,9
Ted Pedersen,18,9
Claude Sammut,36,24
Aixin SUN 孙爱欣,13,0
Scott Klemmer,18,10
Byoung-Tak Zhang,35,27
Harry Zhang,35,25
Claus Brenner,18,4
Eva Tardos,32,21
Richard Lippmann,36,11
Michel Valstar,10,1
Paul R. Cohen,35,10
Tom Dean,31,5
Quang Ha,20,7
Jingbin Wang,37,18
Derek Wills,16,15
Ying Kai,12,7
JB Arbaugh,22,8
Yang Liu,34,5
Ashish Kumar,42,38
Christopher Potts,14,5
Dan Zhang,34,17
Tapio Salakoski,22,15
Heinrich H. Bülthoff,35,25
Dr PN Suganthan,21,13
David Olson,33,27
MS Krishnan,20,12
Dino Pedreschi,29,22
Mor Peleg,19,8
Hagit Hel-Or,25,4
Babak Falsafi,29,15
Jong-Bae Park,18,10
Ke Wang,29,25
Seznec Andre,30,9
Dorin Comaniciu,19,7
Michael R. Watts,22,14
Gabriel Peyré,11,2
Xin Wang,34,26
Holger R Maier,21,7
Anil Somayaji,19,2
Georges Grinstein,26,14
Carol M Connor,14,7
E. Burton Swanson,40,7
Dinesh K. Pai,30,16
Martin Frith,16,7
C. Lawrence Zitnick,20,10
Dominique Laurent,37,28
Tao Gu,11,1
Fabrizio Silvestri,11,5
Tomas Svoboda,19,10
Jan Kybic,18,7
Gregory Hager,26,8
Marius Leordeanu,11,2
Pascal Fua,27,25
Carol Perez-Iratxeta,18,5
Cesare Tinelli,19,11
Chin-Tser Huang,37,26
Robert F. Sproull,46,11
Maoguo Gong,12,6
Gerhard Brewka,30,5
Christof Fetzer,20,5
Krisztian Balog,10,2
Mahmut Kandemir,17,6
Sunil Kumar,41,33
Thomas Hain,20,12
Miklos Maroti,17,7
Eugene Agichtein,16,2
Jing Sun,28,26
Günter M. Ziegler,28,7
Houari Sahraoui,28,19
Alex Copeland,21,16
Michael Hawrylycz,11,4
Ganapati Panda,33,22
О. Реброва Rebrova O.,22,11
Rob Malouf,19,8
Andreas Girgensohn,24,11
Peter Hedström,36,20
Sandeep KS Gupta,22,9
Ragunathan (Raj) Rajkumar,25,19
Leo Grady,10,2
Shifeng Cheng,35,30
Wei D. Lu (卢伟),15,7
Sofiene AFFES,20,12
Martin Purvis,31,15
Guy Melançon,25,11
Philippe Bessières,17,1
Mats Danielsson,33,19
Jeffrey Xu Yu,32,21
Hamid Soltanian-Zadeh,24,12
Youn-Long Lin (林永隆),26,5
QIU-HONG WANG,36,29
Erchin Serpedin, PhD,18,5
Maximilian Riesenhuber,18,3
PP Valko,34,24
Wayne Goddard,29,19
Serafín Moral,30,15
Iakes Ezkurdia,9,7
Liu Ting,18,6
Sjouke Mauw,27,7
Walter Binder,16,9
Belur V. Dasarathy, Ph.D, FIEEE,47,24
Shirley Ho,12,8
Joost Kok,29,19
Predrag Radivojac,17,7
Marcel Kunze,22,11
Ricardo HC Takahashi,23,10
Frederic Gibou,14,4
Xiaodong Lin,35,27
Yuanfang Chen,39,36
Manuel Laguna,25,10
Erkki Oja,40,27
Jock D. Mackinlay,31,16
Kewal Saluja,42,30
Jatinder Singh,48,41
Edith Cohen,25,13
Jin Young Kim,34,32
Federico Thomas,30,16
Pascal Frossard,17,14
Haruo Takemura,25,6
Maryam Fazel,13,9
Marcelo Weinberger,26,13
Liviu Iftode,20,2
Ping Ji,24,16
Jose Rolim,26,18
Nuria Lopez-Bigas,15,8
Fabio Crestani,25,8
Jordi Torres,24,21
Xavier Leroy,25,20
Ioannis G. Tollis,31,16
Carlotta Domeniconi,17,5
Istvan Albert,18,8
Marc Joye,19,5
Ian Donaldson,14,2
Jan-Michael Frahm,14,8
Jan-Michael Frahm,14,8
John Owens,16,9
Deborah L. McGuinness,26,15
Thomas Fahringer,22,15
Prabal Dutta,20,10
Ashish Singh,42,31
Hajo A. Reijers,15,8
Jacob Abraham,40,10
Diego Mauricio Riaño Pachón,9,2
Barry Smyth,21,13
Zhenhai Duan,34,23
Vwani Roychowdhury,27,13
Jun Rekimoto,27,15
Stefano Lonardi,20,6
Michael Peshkin,29,16
Sajal K. Das,29,16
linet özdamar,25,15
Andrew J. Ko,14,7
Suresh Venkatasubramanian,17,11
Nitin Vaidya,24,10
Jason Nieh,25,13
Gianluigi Ferrari,15,7
Prof. Qinyu Zhang,34,29
Yuanhao Chen,35,25
Stephen Cranefield,22,7
Kyo Kang,31,7
Ricardo Gutierrez-Osuna,24,16
Tobias Nipkow,32,16
Ernest Davis,32,6
Peter W. Tse,20,10
Steven Skiena,29,23
Mario Cannataro,24,13
Eduardo Garcia Jimenez,33,15
Karsten Borgwardt,11,2
Diane Litman,31,15
Pierre Neuvial,10,9
Mark Nixon,31,25
Chris Preist,25,13
Andrzej Drygajlo,26,23
Rolf Johansson, MD, PhD,32,11
Guy Theraulaz,26,11
Hugues Talbot,22,9
Ron Kohavi,20,4
Weibo Gong,28,14
Lotfi A. Zadeh,54,4
Richard Hartley,38,27
Stefano Baronti,28,16
Yinggong Zhao,30,23
Li Dalin,34,16
Shmuel Peleg,36,13
David Michael Miller,40,12
Vicenç Torra,22,14
Marshall Tappen,12,6
Feng Ding,18,6
Holger Theisel,20,12
Nalvo F Almeida Jr,16,3
Pradeep Ravikumar,11,0
Yutaka Yamamoto,33,7
Kristofer SJ Pister,42,28
Uwe Scholz,18,16
Tom Vercauteren,8,4
Liqing Zhang （张丽清）,23,16
Inge Jonassen,19,6
Dong Xu,10,3
Sanjay Ghemawat,23,18
Stephan Diehl,18,9
Jo Hajnal,27,14
Bernardo Cuenca Grau,10,3
Xiaomo Jiang,27,19
A. James O'Malley,17,9
David C Wedge,9,7
Emre Kıcıman,15,3
Mark Billinghurst,19,4
Terry Anderson,31,16
Asuncion Gomez Perez,29,20
Mike Dean,13,8
Ryan McDonald,13,4
Uzi Vishkin,33,7
Ed Lazowska,39,10
Ari Rabkin,6,2
Marco Listanti,31,19
Olivier Martin,33,20
Emil Petriu,31,24
Lee, Heung-Kyu,32,23
Alexander Toet,32,6
Johannes Gehrke,19,3
Young-Chan Lee,39,31
Raghupathy Sivakumar,16,2
Daniel Gatica-Perez,17,8
James D. Hollan,37,12
Lars Braubach,15,6
Harold Riethman,25,3
thomas coleman,40,22
Nianwen Xue,14,5
Hojjat Adeli,38,26
LONGIN JAN LATECKI,23,9
Jian-Jia Chen,10,3
Eamonn Keogh,17,8
Maurice Bruynooghe,39,16
Steffen Gutmann,17,3
Meixia Tao,19,15
Wolfgang Huber,20,10
Charles Doutriaux,16,1
Giri Narasimhan,27,20
Dragomir Radev,26,16
Giri Narasimhan,27,20
Chun-Wei Lin,37,29
Prof. D. Nagesh Kumar,28,13
Simon JD Prince,14,9
Peter Haug,31,8
Philip Klein,29,20
Philip Klein,29,20
Paul Cairns,19,9
Ruigang Yang,34,29
Wendy D Cornell,21,4
Cliff Zou,15,3
Nektarios Benekos,10,8
Vivek Kwatra,12,2
Paolo Ciaccia,25,9
Olivier Elemento,13,6
Mary Beth Rosson,33,19
Daniel Reeves,15,8
Guillaume Urvoy-Keller,13,3
Michael L. Anderson,19,7
Sven Leyffer,21,9
Norm Hutchinson,32,9
Angela Bonifati,17,3
Michel Bercovier,34,2
Wil van der Aalst,25,14
Samson Abramsky,31,11
Seungchan Kim,40,28
J Chen,35,21
Timothy J Purcell,12,11
Peter D Eades,39,23
Kirk Pruhs,25,11
Sébastien Konieczny,16,0
Jason H. Moore,27,14
Wenwu Zhu,34,20
Pete Sawyer,26,9
Qun Li,17,4
Charles A Bouman,26,5
Eric Bonnet,17,5
Carlos Castillo,14,8
Masashi Sugiyama,38,31
David Whalley,25,20
Michael Heroux,29,19
Woontack Woo,18,7
Nick Jennings,23,4
Ales Ude,21,7
Robert M. Haralick,46,6
Tamara Sumner,21,1
Ann Copestake,27,19
Siwei Lyu,10,0
Frank Olken,30,3
Yimin Liu,34,22
Zhou Wang,18,8
Shitong Wang,39,26
Richard Bowden,21,9
Tamer Başar,43,24
philippe fullsack,16,1
Cesar A. Hidalgo,8,2
Alberto Sanfeliu,34,3
Kai Hwang,41,12
John Shawe-Taylor,33,19
Gianfranco Doretto,16,6
Siavash Alamouti,23,7
Mark Harris,12,7
Bernhard Nebel,31,19
Ioannis Katsavounidis,19,5
hu yueqi,36,18
Luc Van Gool,30,24
Krzysztof Czarnecki,18,4
Shu-Heng Chen,38,25
Alex Pothen,30,6
Noam Slonim,15,1
Alban Ponse,26,13
Qiong Wu,31,11
Bhabatosh Chanda,32,22
Jeffrey C. Lagarias,36,21
Yang Liu,24,16
Henry D. Priest,7,3
Thomas Manke,17,5
Eran Segal,14,7
Sam H. Noh,25,13
Eric Prud'hommeaux,18,11
Wonpil Im,20,15
Nathan Baker,18,5
Eduard Jorswieck,13,7
H Sebastian Seung,26,11
Srdjan Capkun (Srđan Čapkun),13,1
Frank Ferrie,33,21
Matthew KO Lee,23,10
Ben Liang,34,19
Michael Todd,44,29
Wenrui Li,36,32
Daniel G. Aliaga,23,8
Toru Ishida,31,15
Ashok K. Goel,27,10
Mark Harman,24,17
Dorit Aharonov,18,12
Quisquater Jean-Jacques,40,29
Fabien Gandon,16,5
Cynthia Phillips,29,13
Andrej Cherkaev,37,24
Jim Austin,27,17
Robin Murphy,26,12
Chuen-Tsai Sun,32,14
Rudolf Mathon,37,4
Mathew V. Jones,20,4
Jason Rennie,8,5
Kyu-Han Kim,40,31
Udo Hahn,31,18
Yaoqi Zhou,26,14
Daniel Bienstock,30,14
Stephen Lin,18,11
Daniel Wagner,23,17
Sue Rhee,22,12
Michele Colajanni,21,6
Maxim Sviridenko,15,0
Benjamin Recht,12,7
J.-S. Roger Jang,33,12
Sami Haddadin,8,6
Laurie Williams,18,4
Yuan Xue,19,8
Sameer Tilak,12,1
Jignesh Patel,20,8
Pushmeet Kohli,11,8
Pascal Bouvry,23,21
RF Hanssen,36,22
Sumeet Singh,44,34
Taekyoung (Ted) Kwon,20,8
Jan Wielemaker,26,13
Torsten Suel,21,6
Chris Watkins,25,6
Phil Green,42,29
Jude Shavlik,37,16
Ambarish Goswami,24,10
Nelly Bencomo,17,12
Ljupco Todorovski,21,11
Tom Conte,29,11
German Rigau,23,5
Jean-José Orteu,22,18
Max Welling,19,5
Akiko Yoshise,25,0
Peter D. Lawrence,43,23
Jordi Vitrià,23,16
Romain Teyssier,21,16
Timo Ojala,22,10
David Newman,16,9
In So Kweon,29,21
Kevin Leyton-Brown,15,10
Syed Rizvi,12,7
Veljko Milutinovic,35,19
Hao (Richard) Zhang,36,33
Randy Goebel,37,21
Michael Aftosmis,25,9
James PG Sterbenz,26,10
jim warwicker,32,0
Rakesh Agrawal,31,11
Peer Kröger,13,9
Taisuke Sato,35,6
Brian D. Davison,17,3
Constance Heitmeyer,37,20
Suresh Chandra Mehrotra,38,18
Riccardo Poli,25,17
Richard Furuta,35,10
David Avison,29,8
Stephen I. Gallant,42,22
Hong Qin,20,0
Swamy, MNS,49,16
Jonathan Wren,16,6
Thierry Fraichard,25,10
Antoine van Kampen,17,5
Mark S. Miller,27,11
Prasant Mohapatra,23,12
John G. Breslin,16,8
Neil JA Sloane,44,8
Robert Macredie,20,8
Robert Kleinberg,16,9
Gregory Kryukov,15,4
Hock M. Ng,18,3
Baochun Li,34,19
Colin Fidge,31,5
André Raspaud,29,9
Alois Ferscha,24,8
Michael J. Lyons,28,13
Zhi Ding,27,16
Georgios  B. Giannakis,28,19
Lisong Xu,12,3
Moshe Sipper,24,7
Filip De Turck,16,0
Ruibang Luo,4,0
Bev Littlewood,43,3
M. Tamer Özsu,29,26
Roberto Merlin,40,29
Robert X. Gao,22,12
Shuvendu Lahiri,15,8
Michel Reniers,20,16
Timothy Sherwood,16,4
Nikolai Tillmann,13,7
Yannis Dimitriadis,23,12
Adrie Beulens,31,19
Rajeev Balasubramonian,14,0
Yingdong Zhao,20,14
María José Del Jesus Díaz,17,12
Oleg Sokolsky,20,10
Huamin Wang,33,23
Chen Zhou,35,24
Chitta Baral,24,13
Håkan Hjalmarsson,24,5
James Theiler,28,6
Jan Huisken,12,2
John Quackenbush,25,11
MURAT TEKALP,30,12
Steffen Staab,20,7
Dirk Schulz,17,2
Tok Wang Ling,36,27
Joel S. Bader,26,17
Luc Moreau,33,30
Melissa J Davis,19,10
Sung-Ju Lee,16,4
Satanjeev Banerjee,9,3
Eric Haines,20,16
eytan ruppin,24,11
Bernardo Magnini,24,16
Mio SUZUKI,47,26
James Fowler,15,8
Zahir Tari,23,18
Alex Telea,17,7
Dmitry Ozerov,20,2
Colin Perkins,19,11
Tom Bersano,17,9
BB Karki,17,0
Noah Friedkin,36,15
Alessandro Piva,17,4
Michael Beetz,25,11
Biswanath Samanta,32,22
Edith Hemaspaandra,25,4
Prof. Mario Vento, Ph.D.,26,16
Ming Fan,20,8
poogyeon park,25,12
Walter L. Ruzzo,41,3
Dag IK Sjøberg,27,18
taiqing wang,35,33
Ko Nishino,14,10
Lynne E. Parker,27,11
Rene schoof,32,3
Barry S. Taylor,8,2
Moses Charikar,18,5
Alex Rogers,32,28
Norman Morrison,16,10
Joseph A. Konstan,23,10
Björn Schuller,13,9
Haixin wang,35,26
Michele Monaci,13,1
Garry Robins,17,10
Guenther Ruhe,18,8
Borries Demeler,23,14
Perry Wagle,13,1
Pascal Van Hentenryck,28,3
Dr.Sudershan Kumar,41,29
Sohrab Shah,14,12
Horace HS Ip,22,8
Chien-Yu Chen ,40,26
Julien Gagneur,11,1
Peter Wright,34,24
Aravind Srinivasan,23,13
Emmanuel Letier,17,1
Josef Sivic,16,5
Savina Andonova Jaeger,12,7
Dennis Shasha,31,13
Christine H. Lorenz,24,14
Clement Yu,42,3
Zhiyun Lin,15,5
Manuel Fahndrich,22,9
Xiaofei He,26,16
Daniel H. Huson,27,14
Virgilio Almeida,33,20
Angelo Cangelosi,20,8
Jinhui Tang,14,9
David Kotz,28,14
Tamar Flash,32,3
Ferran Marques,24,9
Alberto Marchetti-Spaccamela,35,21
Markus Kuhn,19,4
Gerard Dreyfus,42,18
Mohammad Peyravian, Ph.D.,19,6
Vítor Santos Costa,39,16
Marie-Francine Moens,30,22
Krassimir Atanassov,34,5
Ayumi Shinohara,22,3
Sanjeev Arora,24,8
N. Asokan,25,13
Haesun Park,38,30
Katy Wolstencroft,12,4
Dariu M. Gavrila,22,7
Efstratios Gallopoulos,31,12
Ren Ng,6,0
Raymond Madachy,20,6
Krishna Sivalingam,21,10
Varun Chandola,14,10
Ali Saberi,33,15
Maristella Agosti,30,23
Yingbo Li,34,31
Guangming Shi,20,16
Byrav Ramamurthy,27,11
Wenlian Lu,12,5
Mark Yandell,20,7
John W. Byers,20,7
Jean-Philippe Vert,13,3
Robert J. Lang,40,31
Jarkko Salojärvi,18,4
João Carlos Setubal,22,5
DS (Sandy) Staples,29,16
Sumi Helal,28,19
Phillip Bonacich,45,20
James Hays,10,6
Jim X. Chen,36,17
deepa raj,12,3
Lambert Schomaker,31,11
Antonio Gonzalez,29,16
Kenji Fukumizu,23,13
Peter Stone,21,6
Guozhu Dong,28,13
Cordelia Schmid,21,12
Blai Bonet,18,5
Krisztián Flautner,14,4
Victor CM Leung,33,29
Sergio Antoy,26,13
Gregory Wilson,27,20
Leendert (Leon) van der Torre,21,8
Gerard Jounghyun Kim,23,15
Susan Stepney,32,10
Diego Calvanese,20,9
Yair Bartal,21,4
Kevin Englehart,22,11
David Milne,9,4
Malte Helmert,15,6
John F. Conley, Jr.,23,7
Zhaoyang Wang,35,25
Dimitris A. Gritzalis,24,13
Ingileif B. Hallgrímsdóttir,7,2
Shenghuo Zhu (朱胜火）,36,30
Kewen Wang,34,24
Grigorios Tsoumakas,15,8
Tim Kelly,31,16
Umut Uludag,12,3
Christian Theobalt,15,4
Sally A. McKee,22,3
Hiroshi Kawasaki,39,25
Cheng-Chi Lee,38,30
Hiromasa SUZUKI,49,12
Tamara Munzner,22,4
Ira Cohen,18,9
Amir Atiya,26,13
Maarten van Someren,28,8
karan singh,42,26
Bernard Lang,40,18
Cliff Lampe,21,14
Jianbo Shi,30,16
Scott F. Smith,32,5
Mario Piattini,19,11
Edoardo M Airoldi,11,5
Keith Decker,26,9
James D Myers,39,15
Charles Audet,20,8
Ralph Etienne-Cummings,24,13
Tommy WS Chow,26,8
Pamela Zave,38,21
Weiguo Fan, Patrick Fan, 樊卫国,17,7
Kirk Borne,37,16
Kunal Talwar,13,2
Chengjun Liu,16,4
Greg Gloor,30,10
Ben Shneiderman,44,32
Ram M. Narayanan,28,12
Xin Zhou,35,27
Eric Dubois,38,17
Eugene Freuder,42,20
C.Pandu Rangan,28,1
Philipp Schlatter,14,8
Laurence Devillers,23,14
Catalin Barbacioru,10,3
Andreas Nuchter,13,2
Mikael Rousson,10,5
Duan Li,35,21
Denis Bastieri,19,14
Frank Tsung,18,8
Guillaume Pierre,18,8
Anand Sivasubramaniam,23,14
Ted Wobber,27,5
F Stajano,20,6
Peter Christen,18,7
Matthew Chalmers,22,0
Jacques Wainer,23,3
Diana Maynard,17,4
Emmanuel Cecchet,17,4
Olli Silven,30,13
oscar diaz,24,9
Michael Stromberg,14,10
Frank Kargl,15,9
Edward L. Braun,23,12
Yu-Kwong Kwok,19,5
Lise Getoor,20,12
Kevin Elphinstone,22,17
Christopher G. Healey,22,4
Sang-Won Lee,16,9
Andrew W. Appel,31,14
John McCarthy,24,14
Margaret Sampson,19,0
Sergei O. Kuznetsov,27,15
Maria Anisimova,13,9
Torben Bach Pedersen,29,16
Ian James Hayes,31,4
George Bebis,25,17
giovanni ulivi,34,19
Andrea Walther,17,12
Andrey Y Shevel,10,6
Pang-Ning Tan,15,7
Max Mühlhäuser,31,24
Peter Norvig,35,30
M. Cenk Cavusoglu,16,5
Uwe Zdun,15,6
Jose´ Carlos Maldonado,25,12
Dan Tufis,24,17
Alex Fukunaga,21,4
Xiang Chen,25,19
Fabio Ciravegna,23,15
Wan Fokkink,22,8
Marie-Claude Gaudel,37,14
Barry Brown,18,5
Wayne Enright,42,1
Sally Goldman,25,23
Rodrigo Fonseca,16,11
Matthias Seeger,15,2
Michael A Sutton,33,4
Wenke Lee,20,5
Franco Zambonelli,22,11
Jinfeng Yang,35,10
Tamás Nepusz,9,1
Christopher Geyer,14,9
Youngser Park,38,29
Mark Hall,39,31
Gurpreet Dhillon,20,8
Mahesh K. Marina,15,2
Andreas Haeberlen,14,4
Enrique Vidal,32,4
H. Van Dyke Parunak,34,21
Leonid Oliker,18,13
Moncef Gabbouj,25,7
Emir Veledar,15,8
Zihuai Lin,37,28
Ran El-Yaniv,27,11
Marco Ronchetti,34,3
Xiaofang Zhou,31,24
Amélie Marian,14,3
Rittscher Jens,14,1
Gaurav Sukhatme,21,9
David Benavides,12,8
John Winn,14,10
Eylem Ekici,16,7
Tyrone Grandison,14,0
Doug Blough,26,15
Clark Olson,22,7
Burr Settles,9,6
Steven CH Hoi,11,3
Douglas Walton,42,2
Joachim M. Buhmann,28,26
Coloma Ballester,19,7
Richard C. Waters,33,14
Gregory Neven,14,8
Yevgeniy Dodis,15,5
William Arbaugh,16,6
George Spanoudakis,21,8
Gianni Di Caro,20,5
Alex Ramirez,31,21
George Kesidis,24,3
Aleksandar Milenkovic,18,9
Herman van Vlijmen,26,7
Yuzhong Sun,34,29
Kim O. Rasmussen,35,22
Yusu Wang,34,25
A. Lee Swindlehurst,28,18
Daniel Marks,16,9
Richard J LeBlanc,36,32
Quan Chen,34,21
Mitchell Guttman,12,7
Andreas Hotho,14,6
Edward Suh,27,16
Wenjing Lou,18,13
Haruhiko Harry Asada,38,10
János Fodor,26,6
Ting-Chi Wang,36,28
Anthony Skjellum, PhD,27,12
Jehoshua Bruck,31,17
Lamine Mili,29,9
Lamine Mili,29,9
Stephen Marsland,15,10
MIchael Zyda,36,21
Benjamin Schrauwen,11,4
Kari Pulli,21,7
Ralph Vigne,6,4
Suresh Sundaram,16,11
Michael Cusumano,35,6
Bruce Draper,27,16
Adrian Perrig,17,5
Roland Yap,27,5
Paul Watson,33,24
Uli Sattler,18,11
Philip Resnik,26,7
Yuehui Chen,36,29
Thrasyvoulos Pappas,39,17
David Nagle,11,5
Patrick Baudisch,18,15
Keith CC Chan,26,15
Scott Klasky,21,16
Bjoern Hartmann,13,8
Adam Coates,10,0
Ioannis Tsamardinos,16,7
Sven Koenig,22,3
Angelov P*,23,12
Yindi Jing,11,4
Thomas Herault,14,2
Idit Keidar,20,7
Laurence Duchien,22,9
Matthew Robshaw,21,16
Ani Nenkova,12,2
Gabrielle Allen,16,5
Mark Utting,23,19
Shinichi Morishita,31,24
Yiping Fan,30,20
Vikram Kapila,21,7
Stergios I. Roumeliotis,17,5
Dimitris Plexousakis,22,10
Gérard Berry,38,16
Xinjian chen,35,25
Franziska Michor,12,3
Eve Schooler,25,14
Oliviero Stock,34,27
Min Juan Wang,36,14
Dror Feitelson,26,13
Susan Dumais,36,12
Achim J. Lilienthal,14,7
Damla Turgut,14,2
Jörg Henkel,22,10
Daniel P. Palomar,15,4
Jungwoo Lee,17,4
Stefan Washietl,11,4
Ioannis Pratikakis,18,10
Jie Wu,36,23
David H. Wolpert,26,9
Yifei Chen,37,30
Michael Böhlen,22,8
Susanne Bødker,32,7
Richard Baraniuk,25,18
David Harel,38,11
Krista Lagus,19,6
Ying Cai,18,2
Harel Weinstein,46,27
Khurram Shafique,12,1
Sebastián Ventura,22,15
John Fox,39,28
Youfu Li,34,10
Enrico Motta,28,20
Martin Roetteler,16,3
Alexey Nesvizhskii,22,10
Ashutosh Garg,15,8
Marcelo Arenas,18,3
John Zeleznikow,33,24
John A. Miller,32,22
Jean-Francois Cardoso,32,11
Huican Zhu,32,23
Luke Ong,35,21
Joseph L. Hellerstein,38,29
Tim McInerney,17,3
S. Kevin Zhou,21,11
Diane J Cook,39,29
Martin Savelsbergh,31,14
Steven Weber,12,3
Eiichiro Fujisaki,20,6
Ian Holmes,15,9
Victor Kaptelinin,21,14
Gaël Varoquaux,9,6
Shumin Zhai,23,6
Yuanyuan Yang,30,22
David Gavaghan,24,6
Paolo Ciancarini,26,13
Shang-Hong Lai,26,4
Rosenhahn,15,11
Luca Carloni,18,12
Martin Skutella,17,2
Salvatore Orlando,31,12
Pierluigi Crescenzi,27,11
Mike Paterson,46,15
Paul Amer,35,29
Gaston H. Gonnet,37,20
Andrew Adamatzky,26,17
Antoni, Jerome,15,7
Maristella Matera,19,8
Alessandro Curioni,21,7
Olga Veksler,16,4
Hao Chen,34,20
Yves Guiard,40,14
David Callahan,26,4
Nirupama Bulusu,14,0
Mary Madden,11,3
JJ Garcia-Luna-Aceves,34,16
Mogens Nielsen,41,10
Andrea Fusiello,17,3
Luis Alvarez,34,12
Mohamed Mokbel,15,7
Costantino Grana,14,3
Prasun Sinha,23,8
Andre Seyfarth,15,3
Xudong He,33,20
Li-Qun Zhang,34,20
Ronald Cools,27,7
Pier Stanislao Paolucci,28,1
Mark Girolami,19,3
Sethuraman Panchanathan,26,9
Erik Blasch,20,8
Rahul Sukthankar,22,12
Eric Mortensen,18,3
Ralph Grishman,44,13
Stefan Fischer,22,16
Pierre Geurts,21,13
Jamie Phillips,18,2
Shi Yan,32,25
Werner Geyer,18,12
Michail G. Lagoudakis,18,7
John M. Beggs,20,9
Ignacio Arganda-Carreras,10,8
Devika Subramanian,28,12
Ronald A. Rensink,29,11
Elad Schneidman,17,9
Jane M. Landolin,8,1
Richard Maclin,22,10
Fredrik Schedin,17,10
Ronald Maier,21,11
Dewayne E Perry,35,13
Cho-Jui Hsieh,6,0
Alfred Kobsa,32,19
Enrico Franconi,23,6
Bernhard Plattner,33,16
Eric Grosse,35,14
Brian L. Tierney,23,11
Kazuya Yoshida,27,2
Jeremy Siek,17,3
Zhengdao Wang,15,1
Can Alkan,13,9
Alberto Riva,21,14
Guido Moerkotte,26,12
Xi-Nian Zuo (左西年),11,6
Rizos Sakellariou,20,11
Juan Carlos Niebles,13,7
Stefania Montani,16,3
Amy Greenwald,16,6
Jay Brockman,26,21
Sarma Vrudhula,21,10
Dr. Le Yu,36,21
Alexandre d'Aspremont,11,5
Jung Ho Ahn,12,7
John Stasko,27,15
Alberto Pascual-Montano,13,3
Hiroshi Sawada,23,13
Jaejoon Lee,16,0
Robert M. Kirby OR RM Kirby,16,5
Jeff Kramer,37,22
Jon Lee,25,19
Ari Rappoport,23,20
Peter Anick,30,11
KK Wei,24,15
Gerd Kortuem,18,14
Ralf Hartmut Güting,31,12
Scott  A. Smolka,34,3
Rodrigo de Lamare,36,31
Yang Cao,36,25
Antonio Fernández Anta,20,12
Xiaoqiao Meng,23,15
Kim Marriott,29,13
Lin Padgham,25,17
Vincent Ng,14,2
Qing Cao,10,2
Jürgen Schönwälder,22,8
Avigdor Gal,22,13
Hua O. Wang,27,17
Christoph Bartneck,14,9
michele garetto,13,5
Sos Agaian,37,8
Ujjwal Maulik,16,2
Francesca Rossi,25,19
Eike Kiltz,13,4
Jiangbo Lu,32,27
Stephen Scott,31,21
Tim Davis,28,26
Mehran Sahami,21,2
Ming Ouhyoung,27,17
Bianca Schroeder,23,19
Nikos Mastorakis,23,12
Serge Fdida,30,20
Min-Yen Kan,18,9
Kwong Sam,22,7
Ryohei Nakano,25,10
Philippe Kruchten,36,26
Antonio Paez,13,4
Marco Schorlemmer,19,8
Malcolm Slaney,29,18
George Bosilca,13,3
Hongxin Zhang,34,19
David Gesbert,19,8
Tang Jie,11,5
Tarek Hamel,20,14
Hiroshi Saruwatari,19,8
Raimondo Schettini,26,10
Zhendong Su,19,11
Jeff Fessler,29,9
Graeme Shanks,16,5
Shin-Dug Kim,33,17
Andrew Shkalikov,38,11
Shyam Gollakota,8,1
Volker Blanz,18,4
Patrik D'haeseleer,20,6
Chengqi Zhang,34,24
Shree Prakash Singh,42,26
Florent Perronnin,13,9
Srinivasan Seshan,32,15
Kenneth L. Calvert,30,12
Huimin Chen,36,25
Stephen T. Hedetniemi,51,35
Kevin Knight,25,12
HaiRong Liu,38,29
Pablo Castells,19,12
Nicole Dukers-Muijrers,27,0
frank de Boer,25,20
